"","lhs","","rhs","support","confidence","lift","count"
"[47]","{tropical fruit,butter}","=>","{whole milk}",0.00620233858668022,0.622448979591837,2.43604684213518,61
"[48]","{root vegetables,butter}","=>","{other vegetables}",0.00660904931367565,0.511811023622047,2.6451189791502,65
"[49]","{root vegetables,butter}","=>","{whole milk}",0.00823589222165735,0.637795275590551,2.49610685850898,81
"[50]","{butter,yogurt}","=>","{whole milk}",0.00935434672089476,0.638888888888889,2.50038687712782,92
"[51]","{other vegetables,butter}","=>","{whole milk}",0.0114895780376207,0.573604060913706,2.24488497377091,113
"[52]","{root vegetables,newspapers}","=>","{other vegetables}",0.00599898322318251,0.52212389380531,2.69841749636113,59
"[53]","{root vegetables,newspapers}","=>","{whole milk}",0.0057956278596848,0.504424778761062,1.9741415436192,57
"[54]","{whipped/sour cream,domestic eggs}","=>","{other vegetables}",0.00508388408744281,0.510204081632653,2.63681405299902,50
"[55]","{whipped/sour cream,domestic eggs}","=>","{whole milk}",0.00569395017793594,0.571428571428571,2.23637087146836,56
"[56]","{pip fruit,domestic eggs}","=>","{whole milk}",0.00538891713268937,0.623529411764706,2.44027527445519,53
"[57]","{citrus fruit,domestic eggs}","=>","{whole milk}",0.00569395017793594,0.549019607843137,2.14867005297941,56
"[58]","{tropical fruit,domestic eggs}","=>","{whole milk}",0.00691408235892222,0.607142857142857,2.37614405093514,68
"[59]","{root vegetables,domestic eggs}","=>","{other vegetables}",0.00732079308591764,0.51063829787234,2.63905815006541,72
"[60]","{root vegetables,domestic eggs}","=>","{whole milk}",0.00854092526690392,0.595744680851064,2.33153558940319,84
"[61]","{yogurt,domestic eggs}","=>","{whole milk}",0.00772750381291307,0.539007092198582,2.1094845808886,76
"[62]","{other vegetables,domestic eggs}","=>","{whole milk}",0.0123029994916116,0.552511415525114,2.16233576270971,121
"[63]","{root vegetables,fruit/vegetable juice}","=>","{other vegetables}",0.00660904931367565,0.550847457627119,2.84686534196674,65
"[64]","{root vegetables,fruit/vegetable juice}","=>","{whole milk}",0.00650737163192679,0.542372881355932,2.12265709834285,64
"[65]","{yogurt,fruit/vegetable juice}","=>","{whole milk}",0.00945602440264362,0.505434782608696,1.97809434419281,93
"[66]","{pip fruit,whipped/sour cream}","=>","{other vegetables}",0.00559227249618709,0.604395604395604,3.12361049355269,55
"[67]","{pip fruit,whipped/sour cream}","=>","{whole milk}",0.00599898322318251,0.648351648351648,2.53742079647372,59
"[68]","{citrus fruit,whipped/sour cream}","=>","{other vegetables}",0.00569395017793594,0.523364485981308,2.7048290696932,56
"[69]","{citrus fruit,whipped/sour cream}","=>","{whole milk}",0.00630401626842908,0.579439252336449,2.26772186499362,62
"[70]","{sausage,whipped/sour cream}","=>","{whole milk}",0.00508388408744281,0.561797752808989,2.19867922756721,50
"[71]","{tropical fruit,whipped/sour cream}","=>","{other vegetables}",0.00782918149466192,0.566176470588235,2.92608806528392,77
"[72]","{tropical fruit,whipped/sour cream}","=>","{whole milk}",0.00793085917641078,0.573529411764706,2.2445928232017,78
"[73]","{root vegetables,whipped/sour cream}","=>","{other vegetables}",0.00854092526690392,0.5,2.58407777193904,84
"[74]","{root vegetables,whipped/sour cream}","=>","{whole milk}",0.00945602440264362,0.553571428571429,2.16648428173498,93
"[75]","{yogurt,whipped/sour cream}","=>","{whole milk}",0.0108795119471276,0.524509803921569,2.05274728275711,107
"[76]","{whipped/sour cream,rolls/buns}","=>","{whole milk}",0.00782918149466192,0.534722222222222,2.09271510368307,77
"[77]","{other vegetables,whipped/sour cream}","=>","{whole milk}",0.0146415861718353,0.507042253521127,1.98438542116207,144
"[78]","{sausage,pip fruit}","=>","{whole milk}",0.00559227249618709,0.518867924528302,2.0306669469701,55
"[79]","{pip fruit,root vegetables}","=>","{other vegetables}",0.00813421453990849,0.522875816993464,2.70230355235456,80
"[80]","{pip fruit,root vegetables}","=>","{whole milk}",0.00894763599389934,0.57516339869281,2.25098767454986,88
"[81]","{pip fruit,yogurt}","=>","{whole milk}",0.00955770208439248,0.531073446327684,2.07843507546071,94
"[82]","{pip fruit,other vegetables}","=>","{whole milk}",0.0135231316725979,0.517509727626459,2.02535144098935,133
"[83]","{tropical fruit,pastry}","=>","{whole milk}",0.0067107269954245,0.507692307692308,1.98692950503535,66
"[84]","{root vegetables,pastry}","=>","{other vegetables}",0.00589730554143366,0.537037037037037,2.77549094023083,58
"[85]","{root vegetables,pastry}","=>","{whole milk}",0.00569395017793594,0.518518518518518,2.02929949448055,56
"[86]","{yogurt,pastry}","=>","{whole milk}",0.00915099135739705,0.517241379310345,2.02430121986361,90
"[87]","{citrus fruit,root vegetables}","=>","{other vegetables}",0.0103711235383833,0.586206896551724,3.02960842227336,102
"[88]","{citrus fruit,root vegetables}","=>","{whole milk}",0.00915099135739705,0.517241379310345,2.02430121986361,90
"[89]","{root vegetables,shopping bags}","=>","{other vegetables}",0.00660904931367565,0.515873015873016,2.66611198692124,65
"[90]","{sausage,tropical fruit}","=>","{whole milk}",0.00721911540416879,0.518248175182482,2.02824146554704,71
"[91]","{sausage,root vegetables}","=>","{whole milk}",0.00772750381291307,0.517006802721088,2.02338316942376,76
"[92]","{tropical fruit,root vegetables}","=>","{other vegetables}",0.0123029994916116,0.584541062801932,3.0209991343442,121
"[93]","{tropical fruit,root vegetables}","=>","{whole milk}",0.011997966446365,0.570048309178744,2.23096900945999,118
"[94]","{tropical fruit,yogurt}","=>","{whole milk}",0.0151499745805796,0.517361111111111,2.02476980810894,149
"[95]","{root vegetables,yogurt}","=>","{other vegetables}",0.0129130655821047,0.5,2.58407777193904,127
"[96]","{root vegetables,yogurt}","=>","{whole milk}",0.0145399084900864,0.562992125984252,2.20335358498015,143
"[97]","{root vegetables,rolls/buns}","=>","{other vegetables}",0.0122013218098627,0.502092050209205,2.59488981282582,120
"[98]","{root vegetables,rolls/buns}","=>","{whole milk}",0.012709710218607,0.523012552301255,2.04688756541299,125
"[99]","{other vegetables,yogurt}","=>","{whole milk}",0.0222674123029995,0.51288056206089,2.00723451168677,219
"[100]","{other vegetables,yogurt,fruit/vegetable juice}","=>","{whole milk}",0.00508388408744281,0.617283950617284,2.41583273152447,50
"[101]","{whole milk,yogurt,fruit/vegetable juice}","=>","{other vegetables}",0.00508388408744281,0.537634408602151,2.77857824939682,50
"[102]","{root vegetables,other vegetables,whipped/sour cream}","=>","{whole milk}",0.00518556176919166,0.607142857142857,2.37614405093514,51
"[103]","{root vegetables,whole milk,whipped/sour cream}","=>","{other vegetables}",0.00518556176919166,0.548387096774194,2.83414981438476,51
"[104]","{other vegetables,yogurt,whipped/sour cream}","=>","{whole milk}",0.00559227249618709,0.55,2.1525069637883,55
"[105]","{whole milk,yogurt,whipped/sour cream}","=>","{other vegetables}",0.00559227249618709,0.514018691588785,2.65652855059154,55
"[106]","{pip fruit,root vegetables,other vegetables}","=>","{whole milk}",0.00549059481443823,0.675,2.64171309192201,54
"[107]","{pip fruit,root vegetables,whole milk}","=>","{other vegetables}",0.00549059481443823,0.613636363636364,3.17136817465246,54
"[108]","{pip fruit,other vegetables,yogurt}","=>","{whole milk}",0.00508388408744281,0.625,2.44603064066852,50
"[109]","{pip fruit,whole milk,yogurt}","=>","{other vegetables}",0.00508388408744281,0.531914893617021,2.74901890631813,50
"[110]","{citrus fruit,root vegetables,other vegetables}","=>","{whole milk}",0.0057956278596848,0.558823529411765,2.18703916106833,57
"[111]","{citrus fruit,root vegetables,whole milk}","=>","{other vegetables}",0.0057956278596848,0.633333333333333,3.27316517778946,57
"[112]","{tropical fruit,root vegetables,yogurt}","=>","{whole milk}",0.00569395017793594,0.7,2.73955431754875,56
"[113]","{tropical fruit,root vegetables,other vegetables}","=>","{whole milk}",0.00701576004067107,0.570247933884298,2.23175027049426,69
"[114]","{tropical fruit,root vegetables,whole milk}","=>","{other vegetables}",0.00701576004067107,0.584745762711864,3.02205705531854,69
"[115]","{tropical fruit,other vegetables,yogurt}","=>","{whole milk}",0.00762582613116421,0.619834710743802,2.4258155114068,75
"[116]","{tropical fruit,whole milk,yogurt}","=>","{other vegetables}",0.00762582613116421,0.503355704697987,2.60142057577756,75
"[117]","{root vegetables,other vegetables,yogurt}","=>","{whole milk}",0.00782918149466192,0.606299212598425,2.37284232228632,77
"[118]","{root vegetables,whole milk,yogurt}","=>","{other vegetables}",0.00782918149466192,0.538461538461538,2.78285298516512,77
"[119]","{root vegetables,other vegetables,rolls/buns}","=>","{whole milk}",0.00620233858668022,0.508333333333333,1.9894382544104,61
"[120]","{other vegetables,yogurt,rolls/buns}","=>","{whole milk}",0.00599898322318251,0.52212389380531,2.04340966795671,59
